SEKTOR,SUBSEKTOR,MSIC_5D
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25992
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25993
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25994
PEMBUATAN,"PRODUK MINERAL BUKAN LOGAM, LOGAM ASAS DAN PRODUK LOGAM YANG DIREKA",25999
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",19201
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",19202
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20111
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20112
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20113
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20119
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20121
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20129
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20131
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20132
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20133
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20210
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20221
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20222
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20231
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20232
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20291
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20292
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20299
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",20300
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",21001
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",21003
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",21005
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",21006
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",21007
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",21009
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22111
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22112
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22191
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22192
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22193
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22199
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22201
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22202
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22203
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22204
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22205
PEMBUATAN,"PRODUK PETROLEUM, KIMIA, GETAH DAN PLASTIK",22209
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13110
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13120
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13131
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13132
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13910
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13921
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13922
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13930
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13940
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",13990
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",14101
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",14102
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",14103
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",14109
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",14200
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",14300
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",15110
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",15120
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",15201
PEMBUATAN,"PRODUK TEKSTIL, PAKAIAN, KULIT DAN KASUT",15202
